provider_code,p92_wait_time,pct_change_last_month,waiting_list_change,Random Forest,Treatment_Function,current_pct,total_waiting
RCF,22.3,-2.46269366,19,0,Rheumatology Service,82.9341,334
RCX,NULL,0,-1,0,Cardiothoracic Surgery Service,100,1
RCX,19.2,-1.978319783,-8,0,Elderly Medicine Service,90.2439,82
RCX,37.9,-1.050420168,57,0,General Internal Medicine Service,79.902,204
RCX,47.3,-2.934849297,11,0,Oral Surgery Service,61.2086,513
RCX,31.4,-0.079124201,-4,0,Other - Other Services,69.2042,289
RCX,22.4,-0.391666667,-50,0,Other - Paediatric Services,85.7333,750
RCX,47.1,1.68582207,28,0,Rheumatology Service,46.3547,919
RD1,10.4,-1.063829787,7,0,General Internal Medicine Service,98.9362,94
RD1,11.1,-1.445447764,75,0,Other - Other Services,98.3687,613
RD1,16.8,-1.698447431,26,0,Respiratory Medicine Service,95.2381,483
RD8,22.6,-3.479042766,-43,0,Dermatology Service,88.9031,784
RD8,NULL,14.28571429,2,0,Elderly Medicine Service,100,9
RD8,16.9,-2.689753321,7,0,General Internal Medicine Service,95.2941,255
RD8,31.1,7.270087034,-30,0,Neurology Service,82.6367,311
RD8,16.6,-1.569950517,41,0,Other - Other Services,97.6608,171
RD8,50.3,0.388429752,-66,0,Other - Paediatric Services,45.6612,484
RD8,49.1,-2.296510654,-79,0,Rheumatology Service,26.1139,808
RDE,NULL,0,6,0,Cardiothoracic Surgery Service,100,7
RDE,10.9,2.359004857,6,0,Elderly Medicine Service,99.435,177
RDE,22.5,-7.456828885,28,0,General Internal Medicine Service,75.5102,392
RDE,NULL,-41.66666667,1,0,Other - Mental Health Services,25,4
RDE,45.1,2.872564508,31,0,Other - Other Services,80.0948,211
RDE,7.2,2.642530171,19,0,Other - Surgical Services,98.1481,108
RDR,23.7,5.167203868,10,0,Other - Surgical Services,89.726,146
RDR,17.6,0.679227825,49,0,Rheumatology Service,93.0521,403
RDU,14.9,3.325123153,-1,0,Elderly Medicine Service,96.4286,28
RDU,43.6,3.389550928,-22,0,Other - Other Services,58.6934,949
RDU,46.4,4.803060603,48,0,Other - Paediatric Services,32.4528,265
RDU,24.2,2.519402519,-27,0,Rheumatology Service,83.1832,666
REF,23,3.781805845,-31,0,Elderly Medicine Service,83.1435,439
REF,24.7,0.061294212,27,0,Other - Other Services,86.7708,960
REF,40.3,-0.835654596,0,0,Respiratory Medicine Service,59.8886,718
REF,15.5,-1.02752415,27,0,Rheumatology Service,95.4876,687
REM,27,-4.229177016,7,0,General Internal Medicine Service,66.2626,495
REM,44.9,1.362217934,24,0,Other - Paediatric Services,43.2177,951
REM,42,-12.92087862,-13,0,Plastic Surgery Service,19.2825,223
REM,22.7,0.939596523,51,0,Rheumatology Service,79.9342,608
REN,15.9,-0.350496278,41,0,Other - Medical Services,96.5726,496
REN,14.7,0.325087712,61,0,Other - Other Services,97.6285,506
RET,NULL,7.692307692,-1,0,Ophthalmology Service,100,12
RET,NULL,0,-9,0,Other - Mental Health Services,100,7
RET,47.2,-6.697737398,-37,0,Other - Surgical Services,38.4201,557
RF4,21.1,-8.19047619,-28,0,Elderly Medicine Service,80.9524,147
RF4,NULL,0,1,0,General Internal Medicine Service,100,4
RF4,35.7,1.735368231,143,0,Other - Other Services,80.4878,656
RF4,19.7,-3.355388206,-22,0,Other - Paediatric Services,87.8652,445
RF4,20,-3.083071653,33,0,Rheumatology Service,89.2473,372
RFF,16.3,-0.980737609,26,0,Elderly Medicine Service,94.9495,198
RFF,21.3,-2.462380301,-9,0,General Internal Medicine Service,88.2353,34
RFF,17.8,-3.635626827,-14,0,Other - Other Services,92.7374,179
RFF,19.6,0.354470693,49,0,Other - Paediatric Services,88.2567,826
RFF,18.3,-4.013244131,93,0,Respiratory Medicine Service,91.433,642
RFF,15.2,3.865696804,42,0,Rheumatology Service,96.4856,313
RFR,10.9,0,7,0,Elderly Medicine Service,100,69
RFR,16.5,0,2,0,General Internal Medicine Service,100,31
RFR,18.8,6.984660025,8,0,Other - Medical Services,90.6951,892
RFR,16.4,7.753867059,9,0,Other - Paediatric Services,97.4886,876
RFR,21.7,2.823900266,-22,0,Rheumatology Service,83.8863,844
RFS,36.6,0.518607886,-7,0,General Internal Medicine Service,68.7135,342
